iter	RMSE
0	3.262890158
1	2.418595879
2	1.802484683
3	1.37891865
4	1.080062165
5	0.8689775311
6	0.7171959247
7	0.6135041403
8	0.5526130715
9	0.5087656634
10	0.4765553305
11	0.455666032
12	0.4408744344
13	0.4244787855
14	0.4119418731
15	0.4022550224
16	0.3974982552
17	0.3888358675
18	0.3777297767
19	0.3751656881
20	0.3719907142
21	0.368097515
22	0.3602700195
23	0.3543553711
24	0.3488358055
25	0.3461968444
26	0.3424842397
27	0.3359352834
28	0.3323620292
29	0.3273076972
30	0.323686102
31	0.3187980012
32	0.3124139605
33	0.3082647471
34	0.303236348
35	0.3002561605
36	0.2961343403
37	0.2896917427
38	0.2847117216
39	0.2826502121
40	0.2803117036
41	0.2760297748
42	0.2734843017
43	0.2708224565
44	0.2673851651
45	0.2646023423
46	0.2629843625
47	0.2609775095
48	0.2580993078
49	0.2562743614
50	0.2544383113
51	0.2536213834
52	0.2527224355
53	0.2491725682
54	0.2466660274
55	0.244210592
56	0.2428565469
57	0.240586572
58	0.2391570819
59	0.2369128344
60	0.2342168707
61	0.2335904049
62	0.2317717248
63	0.2304757129
64	0.2295181576
65	0.2278730599
66	0.2265140291
67	0.2260355955
68	0.2241348144
69	0.2229386645
70	0.2202143388
71	0.2188913558
72	0.2182967892
73	0.2169180994
74	0.2159842565
75	0.2146238214
76	0.2129543024
77	0.2117373347
78	0.2110250584
79	0.2100969239
80	0.2090042104
81	0.2079831622
82	0.2066740862
83	0.2059268273
84	0.204947521
85	0.2037341171
86	0.202203705
87	0.2016726628
88	0.2000985297
89	0.1993099916
90	0.1978571592
91	0.1957945805
92	0.1945467747
93	0.193305878
94	0.1925680018
95	0.191561669
96	0.1907347119
97	0.1893150917
98	0.1878939064
99	0.1865362623
