iter	Passed	Remaining
0	0	67
1	1	90
2	2	83
3	3	80
4	4	76
5	4	72
6	5	69
7	5	66
8	6	64
9	6	62
10	7	60
11	8	59
12	8	57
13	9	56
14	9	55
15	10	54
16	10	53
17	11	52
18	12	52
19	12	51
20	13	50
21	13	49
22	14	48
23	15	47
24	15	46
25	16	45
26	16	45
27	17	44
28	17	43
29	18	43
30	19	42
31	19	42
32	20	41
33	21	41
34	21	40
35	22	40
36	23	39
37	23	38
38	24	37
39	24	37
40	25	36
41	26	35
42	26	35
43	27	34
44	28	34
45	28	33
46	29	32
47	29	32
48	30	31
49	31	31
50	31	30
51	32	29
52	32	29
53	33	28
54	33	27
55	34	27
56	35	26
57	35	26
58	36	25
59	37	24
60	37	24
61	38	23
62	38	22
63	39	22
64	40	21
65	40	20
66	41	20
67	41	19
68	42	19
69	43	18
70	43	17
71	44	17
72	45	16
73	45	16
74	46	15
75	46	14
76	47	14
77	47	13
78	48	12
79	49	12
80	49	11
81	50	11
82	50	10
83	51	9
84	52	9
85	52	8
86	53	8
87	54	7
88	54	6
89	55	6
90	55	5
91	56	4
92	57	4
93	57	3
94	58	3
95	58	2
96	59	1
97	60	1
98	60	0
99	61	0
